PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
J	Cho, SH; Lee, J; Jung, KH; Lee, YW; Park, JC; Paek, NC				Cho, Sung-Hwan; Lee, Jungkwan; Jung, Ki-Hong; Lee, Yin-Won; Park, Jong-Chul; Paek, Nam-Chon		Genome-Wide Analysis of Genes Induced by Fusarium graminearum Infection in Resistant and Susceptible Wheat Cultivars	JOURNAL OF PLANT BIOLOGY																								1226-9239				FEB	2012	55	1				64	72		10.1007/s12374-011-9190-7							WOS:000299002400008	
J	Chiang, SF; Swamy, KBS; Hsu, TW; Tsai, ZTY; Lu, HHS; Wang, DY; Tsai, HK				Chiang, Sufeng; Swamy, Krishna B. S.; Hsu, Ting-Wei; Tsai, Zing Tsung-Yeh; Lu, Henry Horng-Shing; Wang, Daryi; Tsai, Huai-Kuang		Analysis of the association between transcription factor binding site variants and distinct accompanying regulatory motifs in yeast	GENE																								0378-1119				JAN 10	2012	491	2				237	245		10.1016/j.gene.2011.08.028							WOS:000298535400020	
J	Mader, U; Schmeisky, AG; Florez, LA; Stulke, J				Maeder, Ulrike; Schmeisky, Arne G.; Florez, Lope A.; Stuelke, Joerg		SubtiWiki-a comprehensive community resource for the model organism Bacillus subtilis	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2012	40	D1				D1278	D1287		10.1093/nar/gkr923							WOS:000298601300191	
J	Sanchez-Arregui, A; Perez-Martinez, AS; Herrera-Estrella, A				Sanchez-Arregui, Alejandro; Silvia Perez-Martinez, Ana; Herrera-Estrella, Alfredo		Proteomic Analysis of Trichoderma atroviride Reveals Independent Roles for Transcription Factors BLR-1 and BLR-2 in Light and Darkness	EUKARYOTIC CELL																								1535-9778				JAN	2012	11	1				30	41		10.1128/EC.05263-11							WOS:000298674400004	
J	Gibbons, JG; Beauvais, A; Beau, R; McGary, KL; Latge, JP; Rokas, A				Gibbons, John G.; Beauvais, Anne; Beau, Remi; McGary, Kriston L.; Latge, Jean-Paul; Rokas, Antonis		Global Transcriptome Changes Underlying Colony Growth in the Opportunistic Human Pathogen Aspergillus fumigatus	EUKARYOTIC CELL																								1535-9778				JAN	2012	11	1				68	78		10.1128/EC.05102-11							WOS:000298674400007	
J	Koeda, S; Hosokawa, M; Kang, BC; Tanaka, C; Choi, D; Sano, S; Shiina, T; Doi, M; Yazawa, S				Koeda, Sota; Hosokawa, Munetaka; Kang, Byoung-Cheorl; Tanaka, Chihiro; Choi, Doil; Sano, Satoshi; Shiina, Takashi; Doi, Motoaki; Yazawa, Susumu		Defense response of a pepper cultivar cv. Sy-2 is induced at temperatures below 24 degrees C	JOURNAL OF PLANT RESEARCH																								0918-9440				JAN	2012	125	1				137	145		10.1007/s10265-011-0414-1							WOS:000298056000012	
J	Fernandes, AS; Goncalves, AP; Castro, A; Lopes, TA; Gardner, R; Glass, NL; Videira, A				Fernandes, Andreia S.; Pedro Goncalves, A.; Castro, Ana; Lopes, Telma A.; Gardner, Rui; Glass, N. Louise; Videira, Arnaldo		Modulation of fungal sensitivity to staurosporine by targeting proteins identified by transcriptional profiling	FUNGAL GENETICS AND BIOLOGY																								1087-1845				DEC	2011	48	12				1130	1138		10.1016/j.fgb.2011.09.004							WOS:000297899600007	
J	Chi, XX; Hou, JY				Chi, Xiaoxiao; Hou, Jingyu		An iterative approach of protein function prediction	BMC BIOINFORMATICS																								1471-2105				NOV 10	2011	12							437	10.1186/1471-2105-12-437							WOS:000297353200001	
J	Petti, AA; Crutchfield, CA; Rabinowitz, JD; Botstein, D				Petti, Allegra A.; Crutchfield, Christopher A.; Rabinowitz, Joshua D.; Botstein, David		Survival of starving yeast is correlated with oxidative stress response and nonrespiratory mitochondrial function	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																								0027-8424				NOV 8	2011	108	45				E1089	E1098		10.1073/pnas.1101494108							WOS:000296700000012	
J	Mendez-Bravo, A; Calderon-Vazquez, C; Ibarra-Laclette, E; Raya-Gonzalez, J; Ramirez-Chavez, E; Molina-Torres, J; Guevara-Garcia, AA; Lopez-Bucio, J; Herrera-Estrella, L				Mendez-Bravo, Alfonso; Calderon-Vazquez, Carlos; Ibarra-Laclette, Enrique; Raya-Gonzalez, Javier; Ramirez-Chavez, Enrique; Molina-Torres, Jorge; Guevara-Garcia, Angel A.; Lopez-Bucio, Jose; Herrera-Estrella, Luis		Alkamides Activate Jasmonic Acid Biosynthesis and Signaling Pathways and Confer Resistance to Botrytis cinerea in Arabidopsis thaliana	PLOS ONE																								1932-6203				NOV 4	2011	6	11						e27251	10.1371/journal.pone.0027251							WOS:000297198200055	
